code,units,body,helpers,early,day,night,deep,is_increase,content
160281,623,あり,1,0,0,3,0,TRUE,身体あり夜間増３．０
160282,623,あり,2,0,0,3,0,TRUE,身体あり夜間増３．０・２人
160283,726,あり,1,0,0,3.5,0,TRUE,身体あり夜間増３．５
160284,726,あり,2,0,0,3.5,0,TRUE,身体あり夜間増３．５・２人
160285,830,あり,1,0,0,4,0,TRUE,身体あり夜間増４．０
160286,830,あり,2,0,0,4,0,TRUE,身体あり夜間増４．０・２人
160287,934,あり,1,0,0,4.5,0,TRUE,身体あり夜間増４．５
160288,934,あり,2,0,0,4.5,0,TRUE,身体あり夜間増４．５・２人
160289,125,あり,1,0,0,0,0.5,TRUE,身体あり深夜増０．５
160290,125,あり,2,0,0,0,0.5,TRUE,身体あり深夜増０．５・２人
160291,249,あり,1,0,0,0,1,TRUE,身体あり深夜増１．０
160292,249,あり,2,0,0,0,1,TRUE,身体あり深夜増１．０・２人
160293,374,あり,1,0,0,0,1.5,TRUE,身体あり深夜増１．５
160294,374,あり,2,0,0,0,1.5,TRUE,身体あり深夜増１．５・２人
160295,498,あり,1,0,0,0,2,TRUE,身体あり深夜増２．０
160296,498,あり,2,0,0,0,2,TRUE,身体あり深夜増２．０・２人
160297,623,あり,1,0,0,0,2.5,TRUE,身体あり深夜増２．5
160298,623,あり,2,0,0,0,2.5,TRUE,身体あり深夜増２．5・２人
160299,747,あり,1,0,0,0,3,TRUE,身体あり深夜増3．０
160300,747,あり,2,0,0,0,3,TRUE,身体あり深夜増3．0・２人
160301,872,あり,2,0,0,0,3.5,TRUE,身体あり深夜増3．5・２人
160302,872,あり,2,0,0,0,3.5,TRUE,身体あり深夜増3．5・２人
160303,996,あり,1,0,0,0,4,TRUE,身体あり深夜増4．０
160304,996,あり,2,0,0,0,4,TRUE,身体あり深夜増4．0・２人
160305,"1,121",あり,1,0,0,0,4.5,TRUE,身体あり深夜増4．5
